Province/State,Country/Region,date,confirmed,deaths,recovered,active
,Thailand,1/22/20,2,0,0,2
,Japan,1/22/20,2,0,0,2
,Singapore,1/22/20,0,0,0,0
,Nepal,1/22/20,0,0,0,0
,Malaysia,1/22/20,0,0,0,0
British Columbia,Canada,1/22/20,0,0,0,0
New South Wales,Australia,1/22/20,0,0,0,0
Victoria,Australia,1/22/20,0,0,0,0
Queensland,Australia,1/22/20,0,0,0,0
,Cambodia,1/22/20,0,0,0,0
,Sri Lanka,1/22/20,0,0,0,0
,Germany,1/22/20,0,0,0,0
,Finland,1/22/20,0,0,0,0
,United Arab Emirates,1/22/20,0,0,0,0
,Philippines,1/22/20,0,0,0,0
,India,1/22/20,0,0,0,0
,Italy,1/22/20,0,0,0,0
,Sweden,1/22/20,0,0,0,0
,Spain,1/22/20,0,0,0,0
South Australia,Australia,1/22/20,0,0,0,0
,Belgium,1/22/20,0,0,0,0
,Egypt,1/22/20,0,0,0,0
From Diamond Princess,Australia,1/22/20,0,0,0,0
,Lebanon,1/22/20,0,0,0,0
,Iraq,1/22/20,0,0,0,0
,Oman,1/22/20,0,0,0,0
,Afghanistan,1/22/20,0,0,0,0
,Bahrain,1/22/20,0,0,0,0
,Kuwait,1/22/20,0,0,0,0
,Algeria,1/22/20,0,0,0,0
,Croatia,1/22/20,0,0,0,0
,Switzerland,1/22/20,0,0,0,0
,Austria,1/22/20,0,0,0,0
,Israel,1/22/20,0,0,0,0
,Pakistan,1/22/20,0,0,0,0
,Brazil,1/22/20,0,0,0,0
,Georgia,1/22/20,0,0,0,0
,Greece,1/22/20,0,0,0,0
,North Macedonia,1/22/20,0,0,0,0
,Norway,1/22/20,0,0,0,0
,Romania,1/22/20,0,0,0,0
,Estonia,1/22/20,0,0,0,0
,San Marino,1/22/20,0,0,0,0
,Belarus,1/22/20,0,0,0,0
,Iceland,1/22/20,0,0,0,0
,Lithuania,1/22/20,0,0,0,0
,Mexico,1/22/20,0,0,0,0
,New Zealand,1/22/20,0,0,0,0
,Nigeria,1/22/20,0,0,0,0
Western Australia,Australia,1/22/20,0,0,0,0
,Ireland,1/22/20,0,0,0,0
,Luxembourg,1/22/20,0,0,0,0
,Monaco,1/22/20,0,0,0,0
,Qatar,1/22/20,0,0,0,0
,Ecuador,1/22/20,0,0,0,0
