,country,population,area
0,India,1366417754.0,3287263.0
1,US,329064917.0,9525067.0
2,Indonesia,270625568.0,1910931.0
3,Pakistan,216565318.0,907132.0
4,Brazil,211049527.0,8515767.0
5,Nigeria,200963599.0,923768.0
6,Bangladesh,163046161.0,147570.0
7,Russia,145872256.0,17098246.0
8,Mexico,127575529.0,1964375.0
9,Japan,126860301.0,377975.0
10,Ethiopia,112078730.0,1104300.0
11,Philippines,108116615.0,300000.0
12,Egypt,100388073.0,1002450.0
13,Vietnam,96462106.0,331212.0
14,Germany,83517045.0,357114.0
15,Turkey,83429615.0,783562.0
16,Iran,82913906.0,1648195.0
17,Thailand,69037513.0,513120.0
18,United Kingdom,67530172.0,242495.0
19,Italy,60550075.0,301339.0
20,South Africa,58558270.0,1221037.0
21,Myanmar,54045420.0,676578.0
22,Kenya,52573973.0,580367.0
23,"Korea, South",51225308.0,100210.0
24,Colombia,50339443.0,1141748.0
25,Argentina,44780677.0,2780400.0
26,Uganda,44269594.0,241550.0
27,Algeria,43053054.0,2381741.0
28,Sudan,42813238.0,1861484.0
29,Iraq,39309783.0,438317.0
30,Afghanistan,38041754.0,652230.0
31,Poland,37887768.0,312696.0
32,Canada,37411047.0,9984670.0
33,Morocco,36471769.0,446550.0
34,Saudi Arabia,34268528.0,2149690.0
35,Uzbekistan,32981716.0,447400.0
36,Peru,32510453.0,1285216.0
37,Angola,31825295.0,1246700.0
38,Mozambique,30366036.0,801590.0
39,Yemen,29161922.0,527968.0
40,Ghana,28833629.0,238533.0
41,Nepal,28608710.0,147181.0
42,Venezuela,28515829.0,916445.0
43,Madagascar,26969307.0,587041.0
44,North Korea,25666161.0,120540.0
45,Ivory Coast,25716544.0,322463.0
46,Cameroon,25876380.0,475442.0
47,Niger,23310715.0,1267000.0
48,Sri Lanka,21323733.0,65610.0
49,Burkina Faso,20321378.0,274222.0
50,Mali,19658031.0,1240192.0
51,Romania,19364557.0,238397.0
52,Malawi,18628747.0,118484.0
53,Chile,18952038.0,756102.0
54,Kazakhstan,18551427.0,2724900.0
55,Zambia,17861030.0,752612.0
56,Guatemala,17581472.0,108889.0
57,Ecuador,17373662.0,276841.0
58,Syria,17070135.0,185180.0
59,Cambodia,16486542.0,181035.0
60,Senegal,16296364.0,196722.0
61,Chad,15946876.0,1284000.0
62,Somalia,15442905.0,637657.0
63,Zimbabwe,14645468.0,390757.0
64,Guinea,12771246.0,245857.0
65,Rwanda,12626950.0,26338.0
66,Benin,11801151.0,114763.0
67,Tunisia,11694719.0,163610.0
68,Belgium,11539328.0,30528.0
69,Bolivia,11513100.0,1098581.0
70,Cuba,11333483.0,109884.0
71,Haiti,11263770.0,27750.0
72,South Sudan,11062113.0,644329.0
73,Burundi,10864245.0,27834.0
74,Dominican Republic,10738958.0,48671.0
75,Czech Republic,10689209.0,78865.0
76,Greece,10473455.0,131957.0
77,Portugal,10226187.0,92090.0
78,Jordan,10101694.0,89342.0
79,Sweden,10036379.0,450295.0
80,United Arab Emirates,9770529.0,83600.0
81,Honduras,9746117.0,112492.0
82,Hungary,9684679.0,93028.0
83,Belarus,9452411.0,207600.0
84,Tajikistan,9321018.0,143100.0
85,Austria,8955102.0,83871.0
86,Papua New Guinea,8776109.0,462840.0
87,Switzerland,8591365.0,41284.0
88,Israel,8519377.0,20770.0
89,Togo,8082366.0,56785.0
90,Sierra Leone,7813215.0,71740.0
91,Laos,7169455.0,236800.0
92,Paraguay,7044636.0,406752.0
93,Bulgaria,7000119.0,111002.0
94,Lebanon,6855713.0,10452.0
95,Libya,6777452.0,1759540.0
96,Nicaragua,6545502.0,130373.0
97,El Salvador,6453553.0,21041.0
98,Kyrgyzstan,6415850.0,199951.0
99,Turkmenistan,5942089.0,488100.0
100,Singapore,5804337.0,716.0
101,Denmark,5771876.0,43094.0
102,Slovakia,5457013.0,49037.0
103,Costa Rica,5047561.0,51100.0
104,Oman,4974986.0,309500.0
105,Liberia,4937374.0,111369.0
106,Ireland,4882495.0,70273.0
107,New Zealand,4783063.0,270467.0
108,Central African Republic,4745185.0,622984.0
109,Mauritania,4525696.0,1030700.0
110,Panama,4246439.0,75417.0
111,Kuwait,4207083.0,17818.0
112,Croatia,4130304.0,56594.0
113,Eritrea,3497117.0,117600.0
114,Uruguay,3461734.0,176215.0
115,Bosnia and Herzegovina,3301000.0,51209.0
116,Mongolia,3225167.0,1564110.0
117,Armenia,2957731.0,29743.0
118,Jamaica,2948279.0,10991.0
119,Albania,2880917.0,28748.0
120,Qatar,2832067.0,11586.0
121,Lithuania,2759627.0,65300.0
122,Namibia,2494530.0,825615.0
123,Botswana,2303697.0,581730.0
124,Gabon,2172579.0,267668.0
125,Lesotho,2125268.0,30355.0
126,North Macedonia,2083459.0,25713.0
127,Slovenia,2078654.0,20273.0
128,Guinea-Bissau,1920922.0,36125.0
129,Latvia,1906743.0,64559.0
130,Bahrain,1641172.0,778.0
131,Trinidad and Tobago,1394973.0,5130.0
132,Equatorial Guinea,1355986.0,28051.0
133,Estonia,1325648.0,45227.0
134,East Timor,1293119.0,14919.0
135,Eswatini,1148130.0,17364.0
136,Djibouti,973560.0,23200.0
137,Fiji,889953.0,18272.0
138,Comoros,850886.0,1862.0
139,Guyana,782766.0,214969.0
140,Bhutan,763092.0,38394.0
141,Solomon Islands,669823.0,28896.0
142,Montenegro,627987.0,13812.0
143,Luxembourg,615729.0,2586.0
144,Suriname,581372.0,163820.0
145,Cape Verde,549935.0,4033.0
146,Maldives,530953.0,300.0
147,Malta,440372.0,316.0
148,Brunei,433285.0,5765.0
149,Belize,390353.0,22966.0
150,Iceland,339031.0,103000.0
151,Vanuatu,299882.0,12189.0
152,Barbados,287025.0,430.0
153,São Tomé and Príncipe,215056.0,964.0
154,Samoa,197097.0,2842.0
155,Saint Lucia,182790.0,616.0
156,Kiribati,117606.0,811.0
157,Grenada,112003.0,344.0
158,Tonga,110940.0,747.0
159,Saint Vincent and the Grenadines,110589.0,389.0
160,Seychelles,97739.0,452.0
161,Antigua and Barbuda,97118.0,442.0
162,Andorra,77142.0,468.0
163,Dominica,71808.0,751.0
164,Marshall Islands,58791.0,181.0
165,Saint Kitts and Nevis,52823.0,261.0
166,Liechtenstein,38019.0,160.0
167,San Marino,33860.0,61.0
168,Palau,18008.0,459.0
169,World,7713468100.0,510072000.0
