country,population
World,7713468100.0
Afghanistan,38041754.0
Albania,2880917.0
Algeria,43053054.0
American Samoa,55312.0
Andorra,77142.0
Angola,31825295.0
Anguilla,14869.0
Antigua and Barbuda,97118.0
Argentina,44780677.0
Armenia,2957731.0
Aruba,106314.0
Australia,25203198.0
Austria,8955102.0
Azerbaijan,10047718.0
Bahrain,1641172.0
Bangladesh,163046161.0
Barbados,287025.0
Belarus,9452411.0
Belgium,11539328.0
Belize,390353.0
Benin,11801151.0
Bhutan,763092.0
Bolivia,11513100.0
Bosnia and Herzegovina,3301000.0
Botswana,2303697.0
Brazil,211049527.0
British Virgin Islands,30030.0
Brunei,433285.0
Bulgaria,7000119.0
Burkina Faso,20321378.0
Burundi,10864245.0
Cambodia,16486542.0
Cameroon,25876380.0
Canada,37411047.0
Cape Verde,549935.0
Cayman Islands,64948.0
Central African Republic,4745185.0
Chad,15946876.0
Chile,18952038.0
China,1433783686.0
Colombia,50339443.0
Comoros,850886.0
Congo,5380508.0
Cook Islands,17548.0
Costa Rica,5047561.0
Croatia,4130304.0
Cuba,11333483.0
Curaçao,163424.0
Cyprus,1179551.0
Czech Republic,10689209.0
Denmark,5771876.0
Djibouti,973560.0
Dominica,71808.0
Dominican Republic,10738958.0
Ecuador,17373662.0
Egypt,100388073.0
El Salvador,6453553.0
Equatorial Guinea,1355986.0
Eritrea,3497117.0
Estonia,1325648.0
Eswatini,1148130.0
Ethiopia,112078730.0
Falkland Islands,3377.0
Faroe Islands,48678.0
Fiji,889953.0
Finland,5532156.0
France,65129728.0
Gabon,2172579.0
Georgia],3996765.0
Germany,83517045.0
Ghana,28833629.0
Greece,10473455.0
Greenland,56672.0
Grenada,112003.0
Guam,167294.0
Guatemala,17581472.0
Guernsey and  Jersey,172259.0
Guinea,12771246.0
Guinea-Bissau,1920922.0
Guyana,782766.0
Haiti,11263770.0
Honduras,9746117.0
Hong Kong,7436154.0
Hungary,9684679.0
Iceland,339031.0
India,1366417754.0
Indonesia,270625568.0
Iran,82913906.0
Iraq,39309783.0
Ireland,4882495.0
Isle of Man,84584.0
Israel,8519377.0
Italy,60550075.0
Ivory Coast,25716544.0
Jamaica,2948279.0
Japan,126860301.0
Jordan,10101694.0
Kazakhstan,18551427.0
Kenya,52573973.0
Kiribati,117606.0
Kuwait,4207083.0
Kyrgyzstan,6415850.0
Laos,7169455.0
Latvia,1906743.0
Lebanon,6855713.0
Lesotho,2125268.0
Liberia,4937374.0
Libya,6777452.0
Liechtenstein,38019.0
Lithuania,2759627.0
Luxembourg,615729.0
Madagascar,26969307.0
Malawi,18628747.0
Malaysia[f],31949777.0
Maldives,530953.0
Mali,19658031.0
Malta,440372.0
Marshall Islands,58791.0
Mauritania,4525696.0
Mauritius,1198575.0
Mexico,127575529.0
Moldova],4043263.0
Mongolia,3225167.0
Montenegro,627987.0
Montserrat,4989.0
Morocco,36471769.0
Mozambique,30366036.0
Myanmar,54045420.0
Namibia,2494530.0
Nepal,28608710.0
Netherlands],17097130.0
New Caledonia,282750.0
New Zealand,4783063.0
Nicaragua,6545502.0
Niger,23310715.0
Nigeria,200963599.0
Niue,1615.0
North Korea,25666161.0
North Macedonia,2083459.0
Norway[m],5378857.0
Oman,4974986.0
Pakistan,216565318.0
Palau,18008.0
Panama,4246439.0
Papua New Guinea,8776109.0
Paraguay,7044636.0
Peru,32510453.0
Philippines,108116615.0
Poland,37887768.0
Portugal,10226187.0
Puerto Rico,2933408.0
Qatar,2832067.0
Romania,19364557.0
Russia,145872256.0
Rwanda,12626950.0
Samoa,197097.0
San Marino,33860.0
São Tomé and Príncipe,215056.0
Saudi Arabia,34268528.0
Senegal,16296364.0
Serbia[k],8772235.0
Seychelles,97739.0
Sierra Leone,7813215.0
Singapore,5804337.0
Slovakia,5457013.0
Slovenia,2078654.0
Solomon Islands,669823.0
Somalia,15442905.0
South Africa,58558270.0
South Korea,51225308.0
South Sudan,11062113.0
Spain,46736776.0
Sri Lanka,21323733.0
Sudan,42813238.0
Suriname,581372.0
Sweden,10036379.0
Switzerland,8591365.0
Syria,17070135.0
Taiwan,23773876.0
Tajikistan,9321018.0
Tanzania,58005463.0
Thailand,69037513.0
Togo,8082366.0
Tonga,110940.0
Trinidad and Tobago,1394973.0
Tunisia,11694719.0
Turkey,83429615.0
Turkmenistan,5942089.0
Turks and Caicos Islands,38191.0
Uganda,44269594.0
Ukraine,43993638.0
United Arab Emirates,9770529.0
UK,67530172.0
US,329064917.0
Uruguay,3461734.0
Uzbekistan,32981716.0
Vanuatu,299882.0
Venezuela,28515829.0
Vietnam,96462106.0
Yemen,29161922.0
Zambia,17861030.0
Zimbabwe,14645468.0
